T,Tpot,Tdew,Sh,Rh,Date
0,71,273,18,-1,33,3,42,86,1,2020-01-01T00:10:00.0000000
0,75,273,22,-1,44,3,39,85,2,2020-01-01T00:20:00.0000000
0,73,273,21,-1,48,3,39,85,1,2020-01-01T00:30:00.0000000
0,37,272,86,-1,64,3,35,86,3,2020-01-01T00:40:00.0000000
0,33,272,82,-1,5,3,38,87,4,2020-01-01T00:50:00.0000000
0,34,272,84,-1,54,3,37,87,1,2020-01-01T01:00:00.0000000
0,19,272,69,-1,65,3,34,87,4,2020-01-01T01:10:00.0000000
0,03,272,53,-1,7,3,33,88,1,2020-01-01T01:20:00.0000000
0,11,272,63,-1,61,3,35,88,1,2020-01-01T01:30:00.0000000
0,22,272,73,-1,62,3,35,87,4,2020-01-01T01:40:00.0000000
-0,04,272,48,-1,85,3,29,87,5,2020-01-01T01:50:00.0000000
-0,21,272,3,-1,78,3,31,89,1,2020-01-01T02:00:00.0000000
-0,1,272,42,-1,74,3,32,88,6,2020-01-01T02:10:00.0000000
-0,16,272,35,-1,88,3,29,88,1,2020-01-01T02:20:00.0000000
-0,22,272,3,-1,82,3,3,88,9,2020-01-01T02:30:00.0000000
-0,06,272,45,-1,77,3,32,88,2,2020-01-01T02:40:00.0000000
-0,17,272,34,-1,81,3,3,88,6,2020-01-01T02:50:00.0000000
-0,05,272,45,-1,71,3,33,88,5,2020-01-01T03:00:00.0000000
-0,21,272,31,-1,84,3,3,88,7,2020-01-01T03:10:00.0000000
-0,77,271,77,-2,31,3,18,89,2,2020-01-01T03:20:00.0000000
-0,93,271,61,-2,26,3,2,90,6,2020-01-01T03:30:00.0000000
-0,86,271,68,-2,17,3,22,90,8,2020-01-01T03:40:00.0000000
-0,87,271,66,-2,16,3,22,90,9,2020-01-01T03:50:00.0000000
-1,02,271,52,-2,31,3,19,90,9,2020-01-01T04:00:00.0000000
-1,15,271,41,-2,37,3,17,91,4,2020-01-01T04:10:00.0000000
-1,08,271,47,-2,25,3,2,91,7,2020-01-01T04:20:00.0000000
